tanggal,prov,kode_prov,kota,kode_kota,hasil
7 November 2021,SUMATERA SELATAN,16,OGAN KOMERING ULU,1601,RESIKO RENDAH
7 November 2021,SUMATERA SELATAN,16,LAHAT,1604,RESIKO RENDAH
7 November 2021,SUMATERA SELATAN,16,BANYUASIN,1607,RESIKO RENDAH
7 November 2021,SUMATERA SELATAN,16,MUSI RAWAS UTARA,1613,RESIKO RENDAH
7 November 2021,SUMATERA SELATAN,16,KOTA PAGAR ALAM,1672,RESIKO RENDAH
7 November 2021,BENGKULU,17,BENGKULU SELATAN,1701,RESIKO RENDAH
7 November 2021,BENGKULU,17,BENGKULU UTARA,1703,RESIKO RENDAH
7 November 2021,BENGKULU,17,KAUR,1704,RESIKO RENDAH
7 November 2021,BENGKULU,17,MUKOMUKO,1706,RESIKO RENDAH
7 November 2021,BENGKULU,17,KOTA BENGKULU,1771,RESIKO RENDAH
7 November 2021,LAMPUNG,18,LAMPUNG TENGAH,1802,RESIKO RENDAH
7 November 2021,LAMPUNG,18,LAMPUNG BARAT,1804,RESIKO RENDAH
7 November 2021,LAMPUNG,18,TULANG BAWANG,1805,RESIKO RENDAH
7 November 2021,LAMPUNG,18,TANGGAMUS,1806,RESIKO RENDAH
7 November 2021,LAMPUNG,18,PRINGSEWU,1810,RESIKO RENDAH
7 November 2021,LAMPUNG,18,TULANG BAWANG BARAT,1812,RESIKO RENDAH
7 November 2021,LAMPUNG,18,KOTA METRO,1872,RESIKO RENDAH
7 November 2021,KEPULAUAN RIAU,21,NATUNA,2103,RESIKO RENDAH
7 November 2021,DKI JAKARTA,31,JAKARTA SELATAN,3174,RESIKO RENDAH
7 November 2021,JAWA BARAT,32,CIANJUR,3203,RESIKO RENDAH
7 November 2021,JAWA BARAT,32,BANDUNG,3204,RESIKO RENDAH
7 November 2021,JAWA BARAT,32,CIAMIS,3207,RESIKO RENDAH
7 November 2021,JAWA BARAT,32,BEKASI,3216,RESIKO RENDAH
7 November 2021,JAWA BARAT,32,KOTA DEPOK,3276,RESIKO RENDAH
7 November 2021,JAWA TENGAH,33,BANJARNEGARA,3304,RESIKO RENDAH
7 November 2021,JAWA TENGAH,33,WONOGIRI,3312,RESIKO RENDAH
7 November 2021,JAWA TENGAH,33,KARANGANYAR,3313,RESIKO RENDAH
7 November 2021,JAWA TENGAH,33,KUDUS,3319,RESIKO RENDAH
7 November 2021,JAWA TENGAH,33,BATANG,3325,RESIKO RENDAH
7 November 2021,JAWA TENGAH,33,KOTA SURAKARTA,3372,RESIKO RENDAH
7 November 2021,JAWA TENGAH,33,KOTA SEMARANG,3374,RESIKO RENDAH
7 November 2021,JAWA TENGAH,33,KOTA PEKALONGAN,3375,RESIKO RENDAH
